Key	Czech (CS)	English (EN)	German (DE)	Source	Notes
about.team.sectionTitle.experience	Pracovní zkušenosti	Work experience	Berufserfahrung	i18nexus	
about.team.sectionTitle.specialization	Specializace	Expertise	Spezialisierungen	i18nexus	
about.team.third.cvRecords	"Zakládající společník, Brantl & Partners|
Tax Manager, Accace, 2008 - 2009|
Daňový poradce, Rödl & Partner, 2001 - 2008|
Daňový poradce od 2003|
Auditor od 2009"	"Founding Partner, Brantl & Partners|
Tax Manager, Accace, 2008 - 2009|
Tax Advisor, Rödl & Partner, 2001 - 2008|
Tax Advisor since 2003|
Auditor since 2009"	Gründungspartner, Brantl & Partners | Steuermanager, Accace, 2008–2009 | Steuerberater, Rödl & Partner, 2001–2008 | Steuerberater seit 2003 | Wirtschaftsprüfer seit 2009	i18nexus	
about.team.third.name	Ing. Jan Brantl	Ing. Jan Brantl	Ing. Jan Brantl	i18nexus	
about.team.third.role	daňový poradce I auditor I jednatel	tax advisor I auditor I executive	Steuerberater I Wirtschaftsprüfer I Geschäftsführer	i18nexus	
about.team.third.specializations	"Poradenství pro společnosti se zahraničním kapitálem v ČR|
Transakční poradenství|
České účetní standardy 
"	"Consulting for companies with foreign capital in the Czech Republic|
Transaction advisory|
Czech accounting standards
"	"Beratung für Unternehmen mit ausländischem Kapital in Tschechien|
Transaktionsberatung|
Tschechische Rechnungslegungsstandards
"	i18nexus	
contacts.company1.address	Zapsána u Městského soudu v Praze, oddíl C, vložka 15917	Registered with the Municipal Court in Prague, Section C, Insert 15917	Eingetragen im Handelsregister beim Stadtgericht Prag, Abteilung C, Reg.-Blatt-Nr. 15917	i18nexus	
contacts.company1.companyIdNumber	IČO: 29002001	ID: 29002001	Artikel-Nr.: 29002001	i18nexus	
contacts.company1.companyName	Brantl & Partners, s.r.o.	Brantl & Partners, s.r.o.	Brantl & Partners, s.r.o.	i18nexus	
contacts.company1.email	info@brantl.cz	info@brantl.cz	info@brantl.cz	i18nexus	
contacts.company1.phone	+420 226 886 920	+420 226 886 920	+420 226 886 920	i18nexus	
contacts.company1.taxIdNumber	DIČ: CZ29002001	VAT number: CZ29002001	Umsatzsteuer-Identifikationsnummer: CZ29002001	i18nexus	
contacts.company1.website	www.brantl.cz	www.brantl.cz	www.brantl.cz	i18nexus	
contacts.company2.address	Zapsána u Městského soudu v Praze, oddíl C, vložka 394770 	Registered with the Municipal Court in Prague, Section C, Insert 394770 	Eingetragen im Handelsregister beim Stadtgericht Prag, Abteilung C, Reg.-Blatt-Nr. 394770 	i18nexus	
contacts.company2.companyIdNumber	IČO: 19966997	ID: 19966997	Artikelnummer: 19966997	i18nexus	
contacts.company2.companyName	"Brantl & Partners Audit, s.r.o.
"	"Brantl & Partners Audit, s.r.o.
"	"Brantl & Partners Audit, s.r.o.
"	i18nexus	
contacts.company2.email	info@brantl.cz	info@brantl.cz	info@brantl.cz	i18nexus	
contacts.company2.phone	+420 226 886 920	+420 226 886 920	+420 226 886 920	i18nexus	
contacts.company2.taxIdNumber	DIČ: CZ19966997	VAT number: CZ19966997	Umsatzsteuer-Identifikationsnummer: CZ19966997	i18nexus	
contacts.company2.website	www.brantl.cz	www.brantl.cz	www.brantl.cz	i18nexus	
contacts.header	Kontakty	Contact details	Kontakte	i18nexus	
contacts.office1.addressCity	 110 00 Praha 1	 110 00 Prague 1	 110 00 Prag 1	i18nexus	
contacts.office1.addressStreet	Hybernská 1009/24	Hybernská 1009/24	Hybernská 1009/24	i18nexus	
contacts.office1.city	"Praha
"	"Prague
"	"Prag
"	i18nexus	
contacts.office2.addressCity	339 01 Klatovy 	339 01 Klatovy 	339 01 Klatovy 	i18nexus	
contacts.office2.addressStreet	Náměstí Míru 166/1	Náměstí Míru 166/1	Náměstí Míru166/1	i18nexus	
contacts.office2.city	Klatovy	Klatovy	Klatovy	i18nexus	
cookies.header	Cookies	Cookie statement	Cookie-Erklärung	i18nexus	
cookies.intro	Tato webová stránka nepoužívá cookies ani jiné sledovací technologie k monitorování vašeho chování. Při návštěvě stránek nejsou ukládány žádné soubory cookies, které by sloužily k identifikaci vaší návštěvy či sledování vaší aktivity. Informace o své návštěvě nám přesto můžete poskytnout dobrovolně, například při vyplnění kontaktního formuláře.	This website does not use cookies or other tracking technologies to monitor your behavior. No cookies are stored when you visit the site to identify your visit or track your activity. However, you may provide us with information about your visit voluntarily, for example by filling out a contact form.	Diese Website verwendet keine Cookies oder andere Tracking-Technologien, um Ihr Verhalten zu überwachen. Es werden keine Cookies gespeichert, wenn Sie die Website besuchen, um Ihren Besuch zu identifizieren oder Ihre Aktivitäten zu verfolgen. Sie können uns jedoch freiwillig Informationen über Ihren Besuch mitteilen, beispielsweise durch Ausfüllen eines Kontaktformulars.	i18nexus	
cookies.metadata.description	Informace o používání souborů cookies na webu Brantl & Partners.	Information about the use of cookies on the Brantl & Partners website.	Informationen zur Verwendung von Cookies auf der Website von Brantl & Partners.	i18nexus	
cookies.metadata.title	Cookies | Brantl	Cookies | Brantl	Cookies | Brantl	i18nexus	
cookies.noTracking	Veškeré údaje, které nám dobrovolně poskytnete prostřednictvím kontaktních formulářů, zpracováváme v souladu s platnou legislativou v oblasti ochrany osobních údajů (např. Nařízení EU 2016/679 – GDPR).	We process all data that you voluntarily provide to us via contact forms in accordance with applicable personal data protection legislation (e.g. EU Regulation 2016/679 - GDPR).	Alle Daten, die Sie uns freiwillig über Kontaktformulare übermitteln, verarbeiten wir gemäß den geltenden Datenschutzgesetzen (z. B. EU-Verordnung 2016/679 - DSGVO).	i18nexus	
cookies.privacy	Respektujeme vaše soukromí a nevyužíváme žádné sledovací nástroje třetích stran (např. Google Analytics, Facebook Pixel apod.).	We respect your privacy and do not use any third-party tracking tools (e.g. Google Analytics, Facebook Pixel, etc.).	Wir respektieren Ihre Privatsphäre und verwenden keine Tracking-Tools von Drittanbietern (z. B. Google Analytics, Facebook Pixel usw.).	i18nexus	
cookies.whatItMeans.analytical	Nesledujeme vaše chování na webu pomocí analytických nástrojů.	We do not track your behavior on the website using analytics tools.	Wir verfolgen Ihr Verhalten auf der Website nicht mithilfe von Analysetools.	i18nexus	
cookies.whatItMeans.labelAnalytical	Analytické cookies	Analytical cookies	Analytische Cookies	Local only	⚠️ Not in i18nexus (manual editing required)
cookies.whatItMeans.labelMarketing	Marketingové cookies	Marketing cookies	Marketing-Cookies	Local only	⚠️ Not in i18nexus (manual editing required)
cookies.whatItMeans.labelTechnical	Technické cookies	Technical cookies	Technische Cookies	Local only	⚠️ Not in i18nexus (manual editing required)
cookies.whatItMeans.marketing	Nepoužíváme marketingové cookies ani remarketing.	We do not use marketing cookies or remarketing.	Wir verwenden keine Marketing-Cookies oder Remarketing-Software.	i18nexus	
cookies.whatItMeans.technical	Pro běžné procházení stránek není potřeba žádný souhlas s cookies.	No consent to cookies is required for normal browsing.	Für das normale Surfen ist keine Zustimmung zu Cookies erforderlich.	i18nexus	
cookies.whatItMeans.title	Co to pro vás znamená	What does this mean for you?	Was bedeutet das für Sie?	i18nexus	
footer.links.cookies	Cookies	Cookies	Cookies	Local only	⚠️ Not in i18nexus (manual editing required)
footer.links.whistleblower	Ochrana oznamovatelů	Whistleblower Protection	Whistleblower-Schutz	Local only	⚠️ Not in i18nexus (manual editing required)
header.navbar.about	KDO JSME	WHO WE ARE	WER WIR SIND	i18nexus	
header.navbar.contacts	KONTAKTY	CONTACTS	KONTAKTE	i18nexus	
header.navbar.services	SLUŽBY	SERVICES	DIENSTLEISTUNGEN	i18nexus	
header.navbar.testimonials	REFERENCE	REFERENCE	REFERENZEN	i18nexus	
hero.description	Jsme Brantl Partners, certifikovaní daňoví poradci a auditoři.	At Brantl Partners, we are certified tax advisors and auditors.	Wir sind Brantl Partners, zertifizierte Steuerberater und Wirtschaftsprüfer. 	i18nexus	
hero.header	Pragmatické poradenství pro moderní firmy	Practical consulting for modern companies	Pragmatische Beratung für moderne Unternehmen	i18nexus	
navbar.sideMenu.footer	Jsme Brantl Partners, certifikovaní daňoví poradci a auditoři. 	At Brantl Partners, we are certified tax advisors and auditors.	Wir sind Brantl Partners, zertifizierte Steuerberater und Wirtschaftsprüfer. 	i18nexus	
services.header	Služby	Services	Dienstleistungen	i18nexus	
services.sections.fifth.descriptionPart1	Plánujete rozšířit své  podnikání či naopak zvažujete svou firmu prodat? Potřebujete poradit při nákupu, prodeji nebo restrukturalizaci své společnosti?	Are you planning to expand your business or, on the contrary, are you considering selling your company? Do you need advice on purchasing, selling or restructuring your company?	Planen Sie, Ihr Geschäft zu erweitern, oder erwägen Sie umgekehrt, Ihr Unternehmen zu verkaufen? Benötigen Sie Beratung beim Kauf, Verkauf oder bei der Umstrukturierung Ihres Unternehmens?	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.fifth.descriptionPart2	Umíme vám poradit a provést celým procesem. Ve spolupráci s advokátními kanceláři a znalci jsme schopni zrealizovat celou transakci za vás. Provedeme finanční a daňovou prověrku cílové společnosti (due diligence), na jejímž základě navrhneme další kroky a upozorníme na možná rizika. Poskytneme poradenství při tvorbě holdingových struktur.	We can advise you and guide you through the entire process. In cooperation with law firms and experts, we are able to carry out the entire transaction for you. We will conduct a financial and tax due diligence of the target company, on the basis of which we will propose further steps and point out possible risks. We will provide advice on creating holding structures.	Wir können Sie beraten und Sie durch den gesamten Prozess führen. In Zusammenarbeit mit Anwaltskanzleien und Experten sind wir in der Lage, die gesamte Transaktion für Sie durchzuführen. Wir führen eine finanzielle und steuerliche Due Diligence des Zielunternehmens durch, auf deren Grundlage wir weitere Schritte vorschlagen und auf mögliche Risiken hinweisen. Wir beraten bei der Erstellung von Holdingstrukturen.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.fifth.title	Fúze, akvizice & transakční poradenství	Mergers, acquisitions & transaction advisory	Fusionen, Akquisitionen & Transaktionsberatung	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.first.descriptionPart1	"Ať už potřebujete jednorázovou radu nebo pravidelné poradenství, jsme tu pro vás. Naším úkolem je provést vás složitým daňovým prostředím, měnící se legislativou a pomoci vám vyvarovat se daňových rizik. Zaměřujeme se primárně na daň z příjmů právnických osob a daň z přidané hodnoty. 
"	Whether you need one-time advice or regular consulting, we are here for you. Our task is to guide you through the complex tax environment, changing legislation and help you avoid tax risks. We focus primarily on corporate income tax and value added tax.	Ob Sie eine einmalige Beratung oder regelmäßige Beratung benötigen, wir sind für Sie da. Unsere Aufgabe ist es, Sie durch das komplexe Steuerumfeld und die sich ändernde Gesetzgebung zu führen und Ihnen zu helfen, Steuerrisiken zu vermeiden. Wir konzentrieren uns hauptsächlich auf die Körperschaftsteuer und die Mehrwertsteuer.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.first.descriptionPart2	Poskytneme daňovou konzultaci či zpracujeme daňovou analýzu. Provedeme revizi účetnictví se zaměřením na identifikaci daňových rizik. Připravíme a podáme daňové přiznání. Zastoupíme vás před finančním úřadem.  	We will provide tax consultation or prepare a tax analysis. We will review your accounting with a focus on identifying tax risks. We will prepare and file your tax return. We will represent you before the tax office.	Wir bieten Steuerberatung oder erstellen eine Steueranalyse. Wir überprüfen Ihre Buchhaltung mit Schwerpunkt auf der Identifizierung von Steuerrisiken. Wir erstellen und reichen Ihre Steuererklärung ein. Wir vertreten Sie vor dem Finanzamt.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.first.title	Daňové poradenství	Tax consulting	Steuerberatung	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.fourth.descriptionPart1	Poskytovat společníkům, akcionářům, vedení, regulačním orgánům a dalším uživatelům přesné a spolehlivé informace v souladu s patřičnými pravidly a normami je součástí transparentního podnikání. Audit těchto informací pomáhá zvýšit důvěru jejich uživatelů.	Providing shareholders, management, regulatory bodies and other users with accurate and reliable information in accordance with appropriate rules and standards is part of transparent business. Auditing this information helps increase the confidence of its users.	Die Bereitstellung genauer und zuverlässiger Informationen für Aktionäre, Management, Aufsichtsbehörden und andere Nutzer in Übereinstimmung mit entsprechenden Regeln und Standards ist Teil transparenter Geschäftstätigkeit. Die Prüfung dieser Informationen trägt dazu bei, das Vertrauen ihrer Nutzer zu erhöhen.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.fourth.descriptionPart2	Provádíme statutární audity individuálních a konsolidovaných účetních závěrek, ověřování informací v konsolidačních balíčcích a další ověřovací služby. Jako jedni z prvních v České republice jsme získali oprávnění k ověřování ESG zpráv.	We perform statutory audits of individual and consolidated financial statements, verification of information in consolidation packages and other assurance services. We were among the first in the Czech Republic to obtain authorization to verify ESG reports.	Wir führen gesetzliche Prüfungen von Einzel- und Konzernabschlüssen durch, überprüfen Informationen in Konsolidierungspaketen und erbringen weitere Bestätigungsleistungen. Wir gehörten zu den ersten in der Tschechischen Republik, die die Genehmigung zur Überprüfung von ESG-Berichten erhalten haben.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.fourth.title	Audit	Audit	Wirtschaftsprüfung	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.second.descriptionPart1	Propojení byznysu v současném světě vyvolává potřebu řešit obchodní případy z hlediska legislativ různých zemí. Plánujete-li podnikat v zahraničí nebo naopak chcete-li jako zahraniční subjekt začít s aktivitami v České republice, může se vás týkat problematika provozoven ať už  v oblasti daně z příjmů či daně z přidané hodnoty. Stejně tak může vyvstat potřeba řešit z mezinárodního pohledu působení zaměstnanců. 	The interconnection of business in today's world creates the need to address business cases from the perspective of different countries' legislations. If you are planning to do business abroad or, conversely, as a foreign entity want to start activities in the Czech Republic, you may be affected by the issue of permanent establishments in the area of income tax or value added tax. Similarly, the need may arise to address the operation of employees from an international perspective.	Die Vernetzung von Unternehmen in der heutigen Welt schafft die Notwendigkeit, Geschäftsfälle aus der Perspektive verschiedener Länder zu behandeln. Wenn Sie planen, im Ausland Geschäfte zu tätigen oder umgekehrt als ausländisches Unternehmen in der Tschechischen Republik tätig werden möchten, kann Sie das Thema Betriebsstätten im Bereich der Einkommensteuer oder Mehrwertsteuer betreffen. Ebenso kann die Notwendigkeit entstehen, die Tätigkeit von Mitarbeitern aus internationaler Sicht zu regeln.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.second.descriptionPart2	Poskytneme vám daňovou konzultaci či zpracujeme daňovou analýzu včetně interpretace smluv o zamezení dvojího zdanění. Připravíme a podáme daňové přiznání v České republice za zahraniční společnosti a jejich stálé provozovny či za zahraniční zaměstnance působící v České republice. Máme napojení na zahraniční poradce v okolních zemích, tuzemským společnostem proto pomůžeme s orientací v zahraničí a převezmeme za ně komunikaci se zahraničními kolegy.	We will provide you with tax consultation or prepare a tax analysis including interpretation of double taxation treaties. We will prepare and file tax returns in the Czech Republic for foreign companies and their permanent establishments or for foreign employees working in the Czech Republic. We have connections with foreign advisors in neighboring countries, so we will help domestic companies navigate abroad and take over communication with foreign colleagues on their behalf.	Wir bieten Ihnen Steuerberatung oder erstellen eine Steueranalyse einschließlich der Auslegung von Doppelbesteuerungsabkommen. Wir erstellen und reichen Steuererklärungen in der Tschechischen Republik für ausländische Unternehmen und deren Betriebsstätten oder für ausländische Mitarbeiter ein, die in der Tschechischen Republik tätig sind. Wir haben Verbindungen zu ausländischen Beratern in Nachbarländern, sodass wir inländischen Unternehmen bei der Orientierung im Ausland helfen und die Kommunikation mit ausländischen Kollegen für sie übernehmen.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.second.title	Mezinárodní zdanění	International taxation	Internationale Besteuerung	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.sixth.descriptionPart1	Měnící se podnikatelské prostředí, rozvoj chytrých technologií a další okolnosti vyžadují průběžné revize využívaných systémů a nastavených podnikových procesů. Tlak externích i interních uživatelů na další a další informace vyžaduje další a další finanční reporty, přičemž vždy nebývá dostatek vlastní kapacity a expertízy na jejich tvorbu.	The changing business environment, development of smart technologies and other circumstances require continuous reviews of the systems used and established business processes. The pressure from external and internal users for more and more information requires more and more financial reports, while there is not always enough internal capacity and expertise to create them.	Das sich verändernde Geschäftsumfeld, die Entwicklung intelligenter Technologien und andere Umstände erfordern kontinuierliche Überprüfungen der verwendeten Systeme und etablierten Geschäftsprozesse. Der Druck von externen und internen Nutzern auf immer mehr Informationen erfordert immer mehr Finanzberichte, während nicht immer genügend interne Kapazitäten und Fachkenntnisse für deren Erstellung vorhanden sind.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.sixth.descriptionPart2	Poskytneme vám konzultace k nastavení interních účetních systémů a procesů. Podělíme se o své zkušenosti s efektivním zpracováním účetních dokladů pomocí moderních technologií. Vedle toho připravujeme individuální i konsolidované účetní závěrky a další finanční reporty.  	We will provide you with consultations on setting up internal accounting systems and processes. We will share our experience with efficient processing of accounting documents using modern technologies. In addition, we prepare individual and consolidated financial statements and other financial reports.	Wir bieten Ihnen Beratung zur Einrichtung interner Buchhaltungssysteme und -prozesse. Wir teilen unsere Erfahrungen mit der effizienten Verarbeitung von Buchhaltungsdokumenten unter Verwendung moderner Technologien. Darüber hinaus erstellen wir Einzel- und Konzernabschlüsse sowie andere Finanzberichte.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.sixth.title	Účetní poradenství	Accounting consulting	Buchhaltungsberatung	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.third.descriptionPart1	"Jste-li součástí nadnárodní či tuzemské skupiny podniků a realizujete vzájemné obchody, čelíte zvýšenému zájmu finanční správy z hlediska nastavení převodních (transferových) cen. Objektem jejího zájmu je ověřit, zda transakce uvnitř skupiny splňují podmínky nezávislého obchodního vztahu.
"	If you are part of a multinational or domestic group of companies and carry out mutual trades, you face increased interest from the tax authorities in terms of setting transfer prices. The object of their interest is to verify whether transactions within the group meet the conditions of an independent business relationship.	Wenn Sie Teil einer multinationalen oder inländischen Unternehmensgruppe sind und gegenseitigen Handel betreiben, sehen Sie sich einem erhöhten Interesse der Steuerbehörden in Bezug auf die Festlegung von Verrechnungspreisen gegenüber. Gegenstand ihres Interesses ist es zu überprüfen, ob Transaktionen innerhalb der Gruppe die Bedingungen einer unabhängigen Geschäftsbeziehung erfüllen.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.third.descriptionPart2	Poskytneme vám konzultaci či zpracujeme pro vás analýzu obchodních vztahů  v oblasti převodních cen a upozorníme na daňová rizika. Nastavíme s vámi optimální metodu stanovení ceny v jednotlivých transakcích a připravíme dokumentaci k převodním cenám ve formě, která je vyžadována finančními správami jak v tuzemsku, tak v zahraničí.	We will provide you with consultation or prepare an analysis of business relationships in the area of transfer pricing and alert you to tax risks. We will set up an optimal pricing method with you for individual transactions and prepare transfer pricing documentation in a form required by tax authorities both domestically and abroad.	Wir bieten Ihnen Beratung oder erstellen eine Analyse von Geschäftsbeziehungen im Bereich der Verrechnungspreise und weisen Sie auf Steuerrisiken hin. Wir legen mit Ihnen eine optimale Preismethode für einzelne Transaktionen fest und erstellen Verrechnungspreisdokumentation in einer Form, die von Steuerbehörden sowohl im Inland als auch im Ausland verlangt wird.	Local only	⚠️ Not in i18nexus (manual editing required)
services.sections.third.title	Převodní ceny	Transfer pricing	Verrechnungspreise	Local only	⚠️ Not in i18nexus (manual editing required)
testimonials.header	Reference	References	Referenzen	i18nexus	
whistleblower.header	Ochrana oznamovatelů	Whistleblower protection	Schutz von Hinweisgebern	i18nexus	
whistleblower.howToReport.email	na adresu info@brantl.cz.	at info@brantl.cz.	at info@brantl.cz.	i18nexus	
whistleblower.howToReport.external	Oznamovatel může podat oznámení také přímo příslušnému orgánu veřejné moci.	The reporting party may also file a report directly with the relevant public authority.	Die meldende Partei kann die Meldung auch direkt bei der zuständigen Behörde einreichen.	i18nexus	
whistleblower.howToReport.inPerson	na adrese Hybernská 1009/24, Praha 1,	at the address Hybernská 1009/24, Prague 1,	an der Adresse Hybernská 1009/24, Prag 1,	i18nexus	
whistleblower.howToReport.intro	Oznámení je možné učinit prostřednictvím vnitřního oznamovacího systému naší kanceláře, a to následujícími způsoby:	Notification can be made through our office's internal notification system in the following ways:	Benachrichtigungen können über unser internes Benachrichtigungssystem auf folgende Weise erfolgen:	i18nexus	
whistleblower.howToReport.labelEmail	emailem:	By email:	Per E-Mail:	Local only	⚠️ Not in i18nexus (manual editing required)
whistleblower.howToReport.labelInPerson	osobně:	In person:	Persönlich:	Local only	⚠️ Not in i18nexus (manual editing required)
whistleblower.howToReport.labelMail	písemně:	By mail:	Schriftlich:	Local only	⚠️ Not in i18nexus (manual editing required)
whistleblower.howToReport.labelPhone	telefonicky:	By phone:	Telefonisch:	Local only	⚠️ Not in i18nexus (manual editing required)
whistleblower.howToReport.mail	na adresu Brantl & Partners, s.r.o., Hybernská 1009/24, Praha 1,	to the address Brantl & Partners, sro, Hybernská 1009/24, Prague 1,	an die Adresse Brantl & Partners, sro, Hybernská 1009/24, Prag 1,	i18nexus	
whistleblower.howToReport.phone	na čísle +420 226 886 920,	at +420 226 886 920,	unter +420 226 886 920,	i18nexus	
whistleblower.howToReport.protection	Oznámení lze učinit anonymně nebo pod vlastním jménem. Pokud uvedete své kontaktní údaje, budeme Vás informovat o průběhu vyřizování Vašeho podnětu. Identita oznamovatele je chráněna za všech okolností. Veškeré údaje jsou řádně zabezpečeny proti zneužití, archivovány a uchovávány v souladu s platnou legislativou v oblasti ochrany osobních údajů (např. Nařízení EU 2016/679 – GDPR).	The report can be made anonymously or under your own name. If you provide your contact details, we will inform you about the progress of your complaint. The identity of the reporter is protected under all circumstances. All data is properly secured against misuse, archived and stored in accordance with applicable legislation on personal data protection (e.g. EU Regulation 2016/679 – GDPR).	Die Meldung kann anonym oder unter Ihrem Namen erfolgen. Wenn Sie Ihre Kontaktdaten angeben, informieren wir Sie über den Bearbeitungsstand Ihrer Beschwerde. Die Identität des Meldenden wird in jedem Fall geschützt. Alle Daten werden ordnungsgemäß vor Missbrauch gesichert, archiviert und gemäß den geltenden Datenschutzbestimmungen (z. B. EU-Verordnung 2016/679 – DSGVO) gespeichert.	i18nexus	
whistleblower.howToReport.title	Jak lze oznámení podat	How to file a report	Wie man einen Bericht einreicht	i18nexus	
whistleblower.intro	Naše společnost považuje za důležité informovat Vás o pravidlech, která se týkají oznamování protiprávního či neetického jednání (tzv. whistleblowingu) a ochrany oznamovatelů. Povinnost zveřejnit níže uvedené informace vyplývá ze zákona č. 171/2023 Sb., o ochraně oznamovatelů, ve spojení se zákonem č. 253/2008 Sb., o některých opatřeních proti legalizaci výnosů z trestné činnosti a financování terorismu. V souladu s těmito předpisy jsme tzv. povinnou osobou.	Our company considers it important to inform you about the rules regarding reporting illegal or unethical conduct (so-called whistleblowing) and the protection of whistleblowers. The obligation to publish the information below arises from Act No. 171/2023 Coll., on the protection of whistleblowers, in conjunction with Act No. 253/2008 Coll., on certain measures against the legalization of proceeds from crime and the financing of terrorism. In accordance with these regulations, we are a so-called obliged entity.	Unser Unternehmen hält es für wichtig, Sie über die Regelungen zur Meldung illegalen oder unethischen Verhaltens (sogenanntes Whistleblowing) und den Schutz von Hinweisgebern zu informieren. Die Verpflichtung zur Veröffentlichung der nachfolgenden Informationen ergibt sich aus dem Gesetz Nr. 171/2023 Slg. über den Schutz von Hinweisgebern in Verbindung mit dem Gesetz Nr. 253/2008 Slg. über bestimmte Maßnahmen gegen die Legalisierung von Erträgen aus Straftaten und die Finanzierung von Terrorismus. Gemäß diesen Bestimmungen sind wir ein sogenanntes verpflichtetes Unternehmen.	i18nexus	
whistleblower.metadata.description	Informace o režimu ochrany oznamovatelů (whistleblowing) ve společnosti Brantl & Partners a způsobech, jak podat oznámení.	Information about the whistleblowing protection regime at Brantl & Partners and ways to file a report.	Informationen zum Hinweisgeberschutz bei Brantl & Partners und zu den Möglichkeiten, eine Meldung einzureichen.	i18nexus	
whistleblower.metadata.title	Ochrana oznamovatelů | Brantl	Whistleblower Protection | Brantl	Whistleblower-Schutz | Brantl	i18nexus	
